SQL CPU,Web Worker CPU,SQL Memory,Web Worker Memory,# SQL Containers,# Web Worker Containers,Delta Requests,# Requests,Iteration,Minutes,Seconds
13.722239189212221,48.97529789464471,9.793443634064216,3.7865347555093565,1,2,288,898,21,3.0,53.90144944190979
11.03544397178811,29.550623039011267,9.777687393251702,3.173474672791505,1,2,-300,598,22,4.0,3.9775054454803467
10.990664051497708,29.226878458084045,9.77742478923816,3.163257004746207,1,2,-5,593,23,4.0,14.084534406661987
11.196651684833556,30.716103530349276,9.778632767700453,3.210258277754576,1,2,23,616,24,4.0,24.19152855873108
3.628368546819748,21.806878219718048,11.11481640624308,5.062144118429925,1,2,-14,602,25,4.0,38.57843470573425
5.866654520097654,39.36929725415865,11.123557444058784,5.557153694592379,1,2,249,851,26,4.0,48.63889217376709
3.6463467474083258,21.947941826420383,11.114886615382161,5.066120098961351,1,2,-247,604,27,4.0,58.72998642921448
3.5744339450540155,21.383687399611045,11.114605778825833,5.05021617683565,1,2,-8,596,28,5.0,8.821306705474854
3.628368546819748,21.806878219718048,11.11481640624308,5.062144118429926,1,2,6,602,29,5.0,18.879380226135254
2.354152991111545,23.738567538408752,12.938486806611476,7.807513492049141,1,2,-14,588,30,5.0,33.2506628036499
4.464973467666326,40.50434764014657,12.944279201613268,8.282930489683388,1,2,255,843,31,5.0,43.29517078399658
2.470041174138082,24.65904174007279,12.938804820454711,7.833614817409454,1,2,-241,602,32,5.0,53.37125277519226
2.5942070845236573,25.645264098998545,12.939145549572464,7.861580523152645,1,2,15,617,33,6.0,3.446671724319458
2.470041174138082,24.65904174007279,12.938804820454711,7.833614817409454,1,2,-15,602,34,6.0,13.502100467681885
2.870406459455117,27.26141891694447,14.372761290827217,7.147874917513935,1,2,8,610,35,6.0,27.96780514717102
4.703616017687837,42.55993170999933,14.37938736258087,7.595282848370807,1,2,233,843,36,6.0,38.01228070259094
2.775992233280041,26.473512678675554,14.372420033912865,7.12483244897195,1,2,-245,598,37,6.0,48.07241177558899
2.7366529723737596,26.14521841273017,14.372277843531887,7.1152314204127896,1,2,-5,593,38,6.0,58.16345024108887
2.823199346367579,26.867465797810013,14.372590662370042,7.136353683242942,1,2,11,604,39,7.0,8.239202499389648
5.7606228242600785,22.058828720772134,14.61063907036629,7.154567516917586,1,1,-19,585,40,7.0,32.81112194061279
7.672184220634268,44.99982336517054,14.615326148808276,7.718343806959058,1,1,305,890,41,7.0,32.85798668861389
5.917308184618618,23.93923811785397,14.61102325712383,7.200778688232461,1,1,-280,610,42,7.0,42.918116092681885
5.798227310746128,22.510126976071774,14.6107312751881,7.165658198033156,1,1,-19,591,43,7.0,52.96262288093567
5.867168869303886,23.337507110787783,14.610900317361416,7.185991113411701,1,1,11,602,44,8.0,3.0539968013763428
4.266511673526272,44.77561539226686,15.718232705407983,5.277016846372167,1,1,-11,591,45,8.0,16.295616388320923
4.983993105311542,50.59812042843565,15.719998451006706,4.388004635205547,1,3,210,801,46,8.0,36.478360652923584
2.4442932470844223,31.13825988651462,15.715436622096645,3.8103823182776257,1,3,-361,440,47,8.0,36.57241868972778
3.5699219931130624,39.76312882476217,15.71745848532548,4.066392209436815,1,3,160,600,48,8.0,46.66346025466919
3.7598718440053953,41.21857545809144,15.717799674745345,4.109593878569928,1,3,27,627,49,8.0,56.708301305770874
-34.812517685178854,-4.233736094742017,52.184255450727264,-9.89398564973866,1,1,-36,591,50,9.0,24.26145887374878
-32.83427737108257,38.820965284556365,52.16158536295393,-7.480034012611215,1,1,441,1032,51,9.0,24.30832266807556
-34.83494671368335,-4.721884636457425,52.18451248120089,-9.921354715919243,1,1,-446,586,52,9.0,34.36845278739929
-34.76317382246897,-3.159809302968141,52.183689983685305,-9.833773704141377,1,1,16,602,53,9.0,44.47544598579407
-34.682429319852794,-1.4024745527926965,52.18276467398027,-9.735245065891277,1,1,18,620,54,9.0,54.598061323165894
13.074095540774506,36.23930429447075,27.841675612854512,-4.240276066029844,1,1,-3,617,55,10.0,8.813803434371948
